agency_code,category_code,lea_code,name,county,street_addr,stree_addr2,city,zip,phone,grade_span,school_type,calendar_type,url,title_I,stem,School Name,IndianPct,AsianPct,HispanicPct,BlackPct,WhitePct,PacificIslandPct,TwoOrMorePct,MinorityPct,PacificIslandMalePct,TwoOrMoreMalePct,PacificIslandFemalePct,TwoOrMoreFemalePct,pct_eds,eg_index_ALL_AIG,eg_index_ALL_ALL,eg_index_ALL_BL7,eg_index_ALL_EDS,eg_index_ALL_ELS,eg_index_ALL_HI7,eg_index_ALL_SWD,eg_index_ALL_WH7,eg_index_MA_ALL,eg_score_ALL_AIG,eg_score_ALL_ALL,eg_score_ALL_BL7,eg_score_ALL_EDS,eg_score_ALL_ELS,eg_score_ALL_HI7,eg_score_ALL_SWD,eg_score_ALL_WH7,eg_score_MA_ALL,pct_ALL_ELP,pct_EDS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_MALE_ELP,pct_NSWD_ELP,csi_lp,csi_lg,tsi_cu,tsi_at,grad_project,lp_school,rlp_school,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG,target_list,subgroup_list,pct_met_Math Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_Total Targets_PART,pct_Math Grades 3-8_BL7_PART_DET,pct_Math Grades 3-8_EDS_PART_DET,pct_Math Grades 3-8_HI7_PART_DET,pct_Math Grades 3-8_SWD_PART_DET,pct_Math Grades 3-8_WH7_PART_DET,pct_Science Grades 5&8_EDS_PART_DET,pct_Science Grades 5&8_WH7_PART_DET,pct_passed_eog_RTA,pct_promoted_RTA,asm_option,subgroup,ma_score,ma_grade,rd_grade,sc_score,ach_score,eg_status,eg_score,spg_grade,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score,aaa_score_ALL_SPG2,aaa_score_BL7_SPG2,aaa_score_EDS_SPG2,aaa_score_ELS_SPG2,aaa_score_HI7_SPG2,aaa_score_SWD_SPG2,aaa_score_WH7_SPG2,ach_score_ALL_SPG2,ach_score_EDS_SPG2,ach_score_SWD_SPG2,eg_score_ALL_SPG2,scgs_score_ALL_SPG2,scgs_score_EDS_SPG2,spg_score_ALL_SPG2,spg_score_EDS_SPG2,spg_score_SWD_SPG2,spg_score_WH7_SPG2,stu_enroll,cte_enrollment_pct,digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices,crime,short_term,long_term,expulsion,act_per1000_ALL,act_per1000_BL7,act_per1000_EDS,act_per1000_ELS,act_per1000_FEM,act_per1000_HI7,act_per1000_MU7,arr_per1000_ALL,arr_per1000_EDS,arr_per1000_ELS,arr_per1000_FEM,arr_per1000_HI7,arr_per1000_MU7,arr_per1000_SWD,arr_per1000_WH7,bha_per1000_ALL,bha_per1000_BL7,bha_per1000_EDS,bha_per1000_ELS,bha_per1000_FEM,bha_per1000_HI7,bha_per1000_MU7,bha_per1000_SWD,bha_per1000_WH7,exp_per1000_ALL,exp_per1000_FEM,exp_per1000_HI7,exp_per1000_MU7,exp_per1000_SWD,iss_per1000_ALL,iss_per1000_BL7,iss_per1000_EDS,iss_per1000_ELS,iss_per1000_FEM,iss_per1000_HI7,iss_per1000_MU7,iss_per1000_SWD,iss_per1000_WH7,lts_per1000_ALL,lts_per1000_BL7,lts_per1000_EDS,lts_per1000_ELS,lts_per1000_HI7,lts_per1000_MALE,lts_per1000_MU7,lts_per1000_SWD,lts_per1000_WH7,rpt_per1000_ALL,rpt_per1000_BL7,rpt_per1000_EDS,rpt_per1000_ELS,rpt_per1000_FEM,rpt_per1000_HI7,rpt_per1000_MALE,rpt_per1000_MU7,rpt_per1000_SWD,rpt_per1000_WH7,sts_per1000_ALL,sts_per1000_BL7,sts_per1000_EDS,sts_per1000_ELS,sts_per1000_FEM,sts_per1000_HI7,sts_per1000_MALE,sts_per1000_MU7,sts_per1000_SWD,sts_per1000_WH7,pct_ready_kea,welcome_url,unit_code
10303,H,010LEA,ABSS Early College at ACC,Alamance,1247 Jimmie Kerr Road,0,Graham,27253,336-506-4001,09:13:00,Regular School,Traditional,amc.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,-1.09,0.15,0.79,0.68,0.0,0.05,0.0,-0.07,0.0,74.5,80.3,0.0,81.7,0.0,0.0,0.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,0.0,0.0,50.0,"Math Grade 11,Reading Grade 10",ALL,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ALL,0.0,0,0,0.0,95.0,Met,80.7,A,0,0,0.0,0.0,84.2,0.0,77.4,0.0,70.6,0.0,90.6,90.4,77.4,0.0,80.3,0.0,0.0,88.0,78.0,0.0,88.0,222.0,38.29,-,Yes,9:10:11:12,Yes,9:10:11:12,No,-,0,10.0,1.25,0.0,0.91,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.484,0.0,0.0,0.0,0.0,0.0,10.526,0.0,0.0,9.901,4.484,23.256,0.0,0.0,7.519,0.0,0.0,0.0,0.0,0.0,0.0,https://www.abss.k12.nc.us/Page/43983,010303
10304,E,010LEA,Alexander Wilson Elementary,Alamance,2518 NC 54,0,Graham,27253,336-578-1366,PK:05,Regular School,Traditional,awe.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.37,-0.68,-0.82,-0.35,1.96,1.44,-0.8,-1.32,-0.68,80.9,76.6,75.9,78.2,84.9,83.6,0.0,73.4,76.6,70.6,68.4,71.1,70.5,70.2,70.5,N,N,Y,Y,0,N,N,0.0,0.0,9.1,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7",100.0,100.0,100.0,95.0,95.0,95.0,0.0,95.0,95.0,95.0,54.0,81.0,0,ALL,67.0,B,C,66.0,63.0,Exceeded,88.1,C,Exceeded,Met,91.0,84.5,59.9,57.1,42.9,44.6,45.2,11.9,65.1,59.7,43.6,11.9,76.6,57.9,34.5,63.0,51.0,12.0,66.0,0.0,0.0,1,Yes,K:1:2:3:4:5,No,-,No,-,14.46,49.0,1.32,2004.0,0.74,0.17,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.959,30.303,6.27,0.0,0.0,6.172999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.752,151.515,47.022,0.0,3.367,12.345999999999998,51.672,0.0,134.615,16.807000000000002,2.9,https://www.abss.k12.nc.us/Page/43983,010304
10308,E,010LEA,Altamahaw-Ossipee Elementary,Alamance,2832 N NC 87,0,Elon,27244,336-538-6030,KG:05,Regular School,Traditional,aoe.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.38,1.62,0.22,0.64,0.92,1.19,0.58,1.49,1.62,80.9,84.0,80.5,81.6,82.3,82.9,81.4,83.7,84.0,45.2,44.8,52.9,45.2,35.7,44.8,N,N,Y,Y,0,N,N,0.0,0.0,0.0,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7",100.0,100.0,100.0,95.0,95.0,95.0,0.0,95.0,95.0,95.0,62.0,83.3,0,ALL,61.0,C,C,69.0,58.0,Exceeded,86.6,C,Exceeded,Met,94.1,71.7,61.3,31.6,45.7,31.5,49.2,11.5,70.9,62.5,47.1,11.5,84.0,70.1,54.7,67.0,54.0,25.0,75.0,0.0,0.0,0,Yes,2:3:4:5,No,-,No,-,20.78,46.0,1.12,2001.0,0.69,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.050999999999998,28.169,16.949,0.0,6.6670000000000025,0.0,0.0,32.258,13.857000000000001,0.0,0.0,0.0,0.0,0.0,47.308,112.676,57.626999999999995,0.0,10.0,0.0,43.478,112.90299999999999,46.18899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.258,70.423,37.288000000000004,0.0,0.0,0.0,65.217,43.478,177.419,34.641999999999996,78.4,https://www.abss.k12.nc.us/Page/43983,010308
10310,M,010LEA,Broadview Middle,Alamance,2229 Broadview Drive,0,Burlington,27217,336-570-6195,06:08:00,Regular School,Traditional,brm.abss.k12.nc.us/,Y,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,-2.42,-6.53,-3.58,-6.04,-2.77,-5.36,-1.98,-1.95,-6.53,67.9,55.7,62.1,56.6,66.1,57.7,70.1,70.2,55.7,10.5,5.0,17.8,10.7,5.0,13.2,Y,N,N,N,0,Y,Y,14.3,14.3,20.0,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7",100.0,100.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0,ALL,22.0,F,F,50.0,30.0,Met,77.7,F,Met,Met,83.0,71.3,28.1,18.3,22.1,28.6,33.2,8.4,36.6,28.9,23.1,9.8,55.7,41.3,36.4,34.0,30.0,22.0,43.0,755.0,61.06,1,No,-,No,-,No,-,18.37,62.0,1.17,2003.0,0.83,2.16,44.61,0.0,0.0,13.1926,18.4502,13.544,8.2645,8.4034,12.1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.789,14.76,20.316,24.79300000000001,14.005999999999998,21.791999999999998,71.429,16.667,0.0,0.0,0.0,0.0,0.0,0.0,270.449,428.04400000000004,352.144,305.785,257.703,181.59799999999998,392.85699999999997,366.667,68.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.037,808.118,564.3340000000002,239.669,308.123,191.283,542.0790000000002,857.143,808.3330000000003,136.364,0.0,https://www.abss.k12.nc.us/Page/43983,010310
10311,H,010LEA,Career and Technical Education Center,Alamance,2550 Buckingham Road,0,Burlington,27217,336-570-6092,09:12:00,CTE School,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,No,-,No,-,No,-,-,22.0,1.16,2009.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.abss.k12.nc.us/Page/43983,
10312,E,010LEA,Highland Elementary,Alamance,3720 Bonnar Bridge Parkway,0,Burlington,27215,336-538-8700,KG:05,Regular School,Traditional,hle.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,1.66,-1.37,-0.46,-1.36,-0.71,-0.67,-0.47,-1.69,-1.37,84.1,73.1,77.7,73.2,76.4,76.6,77.6,71.5,73.1,53.8,54.5,53.3,52.2,54.2,64.5,N,N,Y,Y,0,N,N,0.0,0.0,6.7,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7",100.0,100.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,58.0,84.0,0,ALL,62.0,C,C,74.0,64.0,NotMet,57.4,C,Met,NotMet,77.8,55.2,66.9,52.8,48.1,41.4,51.1,17.1,74.6,69.3,50.0,17.1,73.1,83.3,61.1,70.0,55.0,29.0,76.0,0.0,0.0,0,No,-,No,-,No,-,13.51,49.0,1.04,2007.0,1.34,0.14,4.56,0.0,0.0,2.7248,0.0,3.3003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.812,18.987000000000002,3.3,17.857,0.0,19.230999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3619999999999999,0.0,3.3,0.0,0.0,0.0,2.6460000000000004,0.0,10.204,2.577,21.798000000000002,63.291000000000004,42.903999999999996,0.0,2.747,9.615,39.683,68.182,91.837,5.155,60.1,https://www.abss.k12.nc.us/Page/43983,010312
10320,E,010LEA,E M Yoder Elementary,Alamance,301 N Charles Street,0,Mebane,27302,919-563-3722,PK:05,Regular School,Traditional,eye.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,-0.15,-0.87,-0.63,-0.47,-0.03,0.79,-1.08,-0.84,-0.87,79.2,75.6,76.8,77.6,0.0,81.9,0.0,75.8,75.6,72.7,0.0,0.0,70.0,0.0,0.0,N,N,Y,Y,0,N,N,0.0,33.3,16.7,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7",100.0,100.0,100.0,95.0,95.0,0.0,0.0,95.0,0.0,95.0,71.7,88.7,0,ALL,69.0,B,B,70.0,69.0,Met,81.7,B,Met,Met,80.0,83.3,64.1,46.6,45.1,0.0,57.1,26.1,70.5,68.2,45.1,26.1,75.6,92.9,0.0,70.0,52.0,26.0,75.0,0.0,0.0,1,Yes,1:2:3:4:5,No,-,No,-,21.64,34.0,1.21,2000.0,1.04,0.29,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.514000000000001,24.096,23.392,0.0,5.617999999999999,0.0,0.0,13.158,12.048,0.0,0.0,0.0,0.0,0.0,151.351,349.398,239.766,176.47099999999998,73.03399999999998,86.95700000000002,55.556000000000004,171.053,88.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.514,277.108,181.287,0.0,28.09,0.0,168.18200000000004,0.0,289.474,76.305,38.7,https://www.abss.k12.nc.us/Page/43983,010320
10324,H,010LEA,Eastern Alamance High,Alamance,4040 Mebane Rogers,0,Mebane,27302,919-563-5991,09:12:00,Regular School,Traditional,eah.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,-1.32,-3.09,-1.75,-2.57,0.95,1.33,-1.71,-3.44,0.0,73.4,64.5,71.2,67.1,82.3,83.3,71.4,62.8,0.0,25.0,28.6,28.6,22.2,23.1,40.9,N,N,Y,N,N,N,N,0.0,0.0,15.8,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7",0.0,0.0,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ALL,0.0,0,0,0.0,70.0,Exceeded,90.0,B,0,0,0.0,0.0,55.2,39.7,36.7,25.0,50.5,10.6,63.9,68.1,52.7,25.9,64.5,0.0,0.0,67.0,56.0,35.0,72.0,1186.0,73.44,0,No,-,No,-,No,-,6.44,79.0,1.3,2000.0,1.12,0.83,11.57,0.0,0.0,14.2737,7.2993,18.8679,40.8163,8.8968,20.5128,42.2535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,2.096,0.0,1.7790000000000001,0.0,0.0,6.172999999999999,1.508,0.0,0.0,0.0,0.0,0.0,344.249,492.70099999999996,530.398,367.347,154.804,343.59,478.87300000000016,851.852,260.935,0.8396,0.0,2.0964,0.0,0.0,1.5106,0.0,0.0,1.5083,0.84,3.65,0.0,0.0,1.7790000000000001,0.0,0.0,0.0,0.0,0.0,80.605,113.139,134.172,40.816,24.910999999999998,56.41,123.867,98.59200000000001,172.84,70.89,0.0,https://www.abss.k12.nc.us/Page/43983,010324
10326,E,010LEA,Eastlawn Elementary,Alamance,502 N Graham Hopedale Road,0,Burlington,27217,336-570-6180,P3:05,Regular School,Year Round,eae.abss.k12.nc.us,Y,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,-0.45,-1.88,-2.56,-2.25,1.3,-0.08,-0.15,-0.32,-1.88,0.0,70.6,67.2,68.7,83.2,79.6,79.2,78.4,70.6,43.0,37.1,42.9,43.3,43.1,47.9,N,N,Y,Y,0,Y,Y,0.0,33.3,23.1,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD",100.0,100.0,100.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,42.3,76.6,0,ALL,46.0,D,D,41.0,40.0,Met,77.1,D,Met,Met,75.2,80.4,36.0,31.1,29.8,32.0,39.7,15.4,39.1,37.7,31.8,15.4,70.6,41.3,37.3,44.0,39.0,28.0,47.0,0.0,0.0,0,Yes,2:3:4:5,No,-,No,-,12.89,50.0,1.35,1999.0,0.73,1.3,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.203,41.667,21.845,5.102,0.0,3.2260000000000004,0.0,39.474000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.689,5.207999999999998,2.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.689,312.5,169.903,20.408,84.87100000000002,25.805999999999997,165.079,105.26299999999999,355.26300000000015,79.365,45.8,https://www.abss.k12.nc.us/Page/43983,010326
10328,E,010LEA,Edwin M Holt Elementary,Alamance,4751 S NC 62,0,Burlington,27215,336-570-6420,KG:05,Regular School,Traditional,ehe.abss.k12.nc.us,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,1.73,3.15,0.0,2.69,0.0,0.64,2.06,4.06,3.15,84.3,87.8,0.0,86.7,0.0,0.0,85.1,90.1,87.8,0.0,0.0,0.0,0.0,0.0,0.0,N,N,Y,Y,0,N,N,25.0,0.0,12.5,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7",100.0,100.0,100.0,0.0,95.0,0.0,95.0,95.0,0.0,95.0,71.4,93.5,0,ALL,70.0,B,C,84.0,71.0,Met,74.5,B,Met,Met,73.0,76.9,67.5,0.0,45.1,0.0,0.0,14.9,70.7,68.1,45.1,14.9,87.8,71.0,0.0,72.0,53.0,29.0,75.0,0.0,0.0,2,No,-,No,-,No,-,15.88,58.0,1.45,2001.0,1.06,0.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8659999999999999,0.0,5.617999999999999,0.0,0.0,0.0,0.0,12.658,2.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.328,0.0,16.854,0.0,4.065,0.0,13.985999999999999,86.95700000000002,0.0,6.579,46.8,https://www.abss.k12.nc.us/Page/43983,010328
